,face_size_x,face_size_y,face_avg,body_avg,label
1,100,114,224.69394736842105,214.96153846153845,2
2,101,114,225.23067569914886,214.74626317360458,2
3,99,113,223.8635916689014,213.76332236842106,2
4,98,110,223.82931354359926,213.28038777032066,2
5,95,112,222.68712406015038,213.95381645381644,2
6,95,110,223.47062200956938,216.073026831179,2
7,95,110,223.72172248803827,213.72396189545677,2
8,95,111,225.50308202939783,215.84148550724638,2
9,98,112,225.2228498542274,214.70214813211132,2
10,94,111,225.78071688709986,215.73908136225342,2
11,95,112,227.07283834586465,215.1767399267399,2
12,98,110,224.83098330241188,215.2049265112699,2
13,97,111,224.30872109222625,213.99748976408657,2
14,95,111,224.9407302038881,215.3328437132785,2
15,97,109,225.5280431287241,215.26725010849125,2
16,97,109,224.53683911850942,215.43755725926997,2
17,96,109,224.14745795107032,215.15825256762622,2
18,97,110,225.38275538894095,215.0902466367713,2
19,99,110,223.0492194674013,214.71049347158217,2
20,97,111,225.21454444134858,215.59263018001693,2
21,98,110,223.89192949907235,214.93500276635154,2
22,100,112,224.804375,214.42665130568358,2
23,97,111,226.1268691371784,214.76450166353249,2
24,97,111,226.37262004272313,214.29451757558223,2
25,98,112,225.62244897959184,214.6413365086238,2
26,97,111,225.59552335840996,214.29866974573622,2
27,97,111,224.96080616699174,214.43357148011836,2
28,99,112,224.8909632034632,214.15216973886328,2
29,96,111,225.78547297297297,215.09614735522445,2
30,97,113,224.76115317945442,214.9806195895341,2
31,99,111,224.63354263354265,214.65037037037038,2
32,96,112,224.5043712797619,214.92948156794085,2
33,99,112,224.992784992785,214.7151254480287,2
34,98,114,224.906015037594,214.7916038029552,2
35,98,114,224.64419978517722,214.27243336446583,2
36,99,114,226.65107212475633,215.13689366786141,2
37,98,114,225.20569280343716,213.66743300524462,2
38,98,114,224.10266738274257,214.34870800105372,2
39,98,113,223.64881704894347,215.2560289292813,2
40,98,112,225.66964285714286,214.5433579998563,2
41,98,112,223.58637026239066,215.51455745341616,2
42,98,112,225.48077623906707,214.32088240881458,2
43,97,114,224.58762886597938,214.3671549878521,2
44,97,111,225.55001393145724,214.70412066103773,2
45,98,114,224.8156104547082,214.47974270353302,2
46,98,114,224.54797708557106,213.63024163613287,2
47,97,113,225.75604415655505,214.0314171773174,2
48,99,113,223.7533744524895,212.53859020310634,2
49,98,113,224.89037384865452,212.9159946236559,2
50,98,113,225.73451327433628,214.34146803771975,2
51,98,112,226.35404518950438,212.01807799838886,2
52,99,111,224.27964327964327,212.7993144208038,2
53,98,113,224.83646378905544,212.1825332891058,2
54,99,112,224.9876443001443,212.76080378250592,2
55,99,111,225.1147511147511,212.52352245862883,2
56,97,111,224.659793814433,212.93005378647246,2
57,97,112,225.4866531664212,213.08172687895663,2
58,96,112,224.89536830357142,213.84161549811986,2
59,96,111,223.8734984984985,213.30889142748347,2
60,96,111,223.84834834834834,213.42512732638394,2
61,96,112,224.41741071428572,213.0530724927412,2
62,96,112,224.81919642857142,214.54293398067495,2
63,96,111,224.6709834834835,213.22944928364035,2
64,97,112,225.07409793814432,214.18468275500976,2
65,96,111,224.8370870870871,214.25408158408302,2
66,97,111,224.5229869044302,212.65545183149314,2
67,96,112,224.79361979166666,213.0203008234566,2
68,96,112,225.60481770833334,213.9526869436908,2
69,97,111,223.77393888734096,212.85525754632042,2
70,98,112,225.7834365889213,213.01485570771928,2
71,97,112,224.08081737849778,213.23032270293322,2
72,97,111,225.16104764558372,213.70260152584942,2
73,97,111,226.22392495588372,213.38075155191206,2
74,97,111,225.89820748583637,213.7231199355542,2
75,98,111,224.73276337562052,212.05345211581292,2
76,98,112,227.65233236151605,213.34277116997583,2
77,98,112,226.25810860058309,213.1277070668693,2
78,100,111,224.13972972972974,214.2113937404759,2
79,98,110,223.58580705009277,213.63957421643997,2
80,97,108,226.16542573501337,211.5617157251481,2
81,97,107,223.18103863570673,214.1935521361164,2
82,98,109,224.44252012731698,211.71243469174505,2
83,97,106,226.34156778836802,213.5747331786543,2
84,100,109,230.75422018348624,212.42365835222978,2
85,101,112,228.32690947666194,212.9106965291917,2
86,101,111,227.06564980822407,213.24914570479353,2
87,101,112,227.56780410183876,213.55646183653454,2
88,102,110,229.03654188948306,213.44153273318565,2
89,95,109,227.66586190246258,213.86718004958993,2
90,96,107,228.57817367601245,215.2813882842586,2
91,96,105,228.88710317460317,214.0931092991469,2
92,97,105,228.7095729013255,215.37160644074143,2
93,96,103,226.0337783171521,215.1503121796664,2
94,96,104,221.91115785256412,215.1362280722354,2
